name,latitude,longitude
juancho,-1.30316,-74.82887
juancho,-1.30332,-74.82955
juancho,-1.3032,-74.82955
juancho,-1.30318,-74.82958
juancho,-1.3032,-74.82956
juancho,-1.30324,-74.82951
juancho,-1.30321,-74.82955
juancho,-1.30354,-74.82942
juancho,-1.3032,-74.82954
juancho,-1.3032,-74.82954
juancho,-1.30321,-74.82955
juancho,-1.30323,-74.82956
juancho,-1.3032,-74.82955
juancho,,-74.82955
juancho,-1.30328,-74.82954
juancho,-1.30392,-74.82932
juancho,-1.30361,-74.82914
juancho,,-74.82948
juancho,-1.30312,-74.82947
juancho,-1.30322,-74.82951
juancho,-1.30325,-74.82941
juancho,-1.30318,-74.82951
juancho,-1.30417,-74.82926
juancho,-1.30393,-74.82914
juancho,-1.304,-74.82911
juancho,-1.3041,-74.82882
juancho,-1.30282,-74.82933
juancho,-1.30281,-74.82931
juancho,-1.30282,-74.82934
juancho,-1.30282,-74.82932
juancho,-1.30345,-74.82994
juancho,-1.30398,-74.82923
juancho,-1.30288,-74.82868
juancho,-1.30231,-74.82979
juancho,-1.3025,-74.82973
juancho,-1.30246,-74.82973
juancho,-1.30251,-74.82966
juancho,-1.30259,-74.82988
juancho,-1.30258,-74.82993
juancho,-1.30215,-74.82887
juancho,-1.30181,-74.82826
juancho,-1.30179,-74.82824
juancho,-1.30166,-74.82797
juancho,-1.30163,-74.82887
juancho,-1.30154,-74.82896
juancho,-1.30276,-74.82919
juancho,-1.30276,-74.82923
juancho,-1.30315,-74.82863
juancho,-1.30152,-74.82872
juancho,-1.30152,-78.82872
juancho,-1.30259,-74.8299
juancho,,-74.8299
juancho,-1.30265,-74.82991
juancho,-1.3026,-74.82968
juancho,-1.30278,-74.82932
juancho,-1.30285,-74.82926
juancho,-1.30287,-74.8293
juancho,-1.30211,-74.82897
juancho,-1.3025,-74.82979
juancho,-1.30228,-74.82926
juancho,-1.30267,-74.82928
juancho,-1.30269,-74.82915
juancho,-1.30152,-74.82736
juancho,-1.30034,-74.82592
juancho,-1.30041,-74.82591
juancho,-1.3003,-74.82582
juancho,-1.30028,-74.8263
juancho,-1.30027,-74.82629
juancho,-1.29981,-74.82707
juancho,-1.29918,-74.82758
juancho,-1.2985,-74.8279
juancho,-1.2985,-74.8277
juancho,-1.2985,-78.8279
juancho,-1.29755,-74.82745
juancho,-1.29752,-74.82747
juancho,-1.29755,-74.82746
juancho,-1.29689,-74.82717
juancho,-1.29743,-74.82714
juancho,-1.29741,-74.82713
juancho,-1.29739,-74.82756
juancho,-1.29741,-74.82754
juancho,-1.29729,-74.82778
juancho,-1.29756,-74.82742
juancho,-1.29755,-74.82742
juancho,-1.29813,-74.82734
juancho,-1.29738,-74.82717
juancho,-1.29727,-74.82714
juancho,-1.29726,-74.8271
juancho,-1.29738,-74.82719
juancho,-1.29726,-74.8271
juancho,-1.29753,-74.82748
juancho,-1.29753,-74.82742
juancho,-1.29554,-74.82957
juancho,-1.29559,-74.82745
juancho,-1.29641,-74.82794
juancho,-1.29604,-74.82717
juancho,-1.29737,-74.82765
juancho,-1.29768,-74.82794
juancho,-1.29769,-74.82795
juancho,-1.29771,-74.82786
juancho,-1.30053,-74.8253
juancho,-1.30057,-74.82569
juancho,-1.30001,-74.82646
juancho,-1.30169,-74.82911
juancho,-1.30076,-74.8283
juancho,-1.30037,-74.82823
juancho,-1.30151,-74.82882
juancho,-1.30102,-74.82491
juancho,-1.30173,-74.82498
juancho,-1.30175,-74.82497
juancho,-1.30036,-74.82411
juancho,-1.30055,-74.82445
juancho,-1.3006,-74.82385
juancho,-1.3007,-74.82379
juancho,-1.29947,-74.82156
juancho,-1.29884,-74.82103
juancho,-1.29883,-74.8211
juancho,-1.29886,-74.8211
juancho,-1.29849,-74.82089
juancho,-1.29987,-74.82122
juancho,-1.29988,-74.82119
juancho,-1.29977,-74.82138
juancho,-1.30012,-74.82221
juancho,-1.29901,-74.82123
juancho,-1.29857,-74.82155
juancho,-1.29831,-74.82173
juancho,-1.29855,-74.82158
juancho,-1.29874,-74.8211
juancho,-1.29885,-74.82112
juancho,-1.29932,-74.82169
juancho,-1.29749,-74.82231
juancho,-1.29689,-74.82356
juancho,-1.2966,-74.82403
juancho,-1.29633,-74.82406
juancho,-1.29746,-74.82369
juancho,-1.29675,-74.82405
juancho,-1.29904,-74.8244
juancho,-1.29959,-74.82319
juancho,-1.29955,-74.8234
juancho,-1.29961,-74.82392
juancho,-1.29798,-74.82556
juancho,-1.29938,-74.82762
juancho,-1.29986,-74.82771
juancho,-1.29981,-74.82765
juancho,-1.29972,-74.82741
juancho,-1.30105,-74.8281
juancho,-1.3017,-74.82837
juancho,-1.30203,-74.82865
juancho,-1.30196,-74.8286
juancho,-1.30173,-74.82843
juancho,-1.303,-74.82882
juancho,-1.303,-74.8288
juancho,-1.30292,-74.82868
juancho,-1.3017,-74.82909
juancho,-1.3014,-74.82837
juancho,-1.30148,-74.82836
juancho,-1.30069,-74.82843
juancho,-1.3002,-74.82638
juancho,-1.30024,-74.82607
juancho,-1.30014,-74.82607
juancho,-1.30026,-74.82572
juancho,-1.30198,-74.82568
juancho,-1.3004,-74.82419
juancho,-1.30045,-74.82421
juancho,-1.30045,-74.8242
juancho,-1.29998,-74.82415
juancho,-1.30018,-74.82367
juancho,-1.30136,-74.82329
juancho,-1.30163,-74.82308
juancho,-1.30648,-74.82413
juancho,-1.30563,-74.82525
juancho,-1.30567,-74.8253
juancho,-1.30537,-74.82459
juancho,-1.30561,-74.82543
juancho,-1.30555,-74.82699
juancho,-1.30553,-74.82719
juancho,-1.30554,-74.82719
juancho,-1.30563,-74.82637
juancho,-1.30575,-74.82649
juancho,-1.30471,-74.82913
juancho,-1.30453,-74.82912
juancho,-1.30329,-74.83041
juancho,-1.30277,-74.8299
juancho,-1.30279,-74.82993
juancho,-1.3021,-74.82886
juancho,-1.30252,-74.82921
juancho,-1.30256,-74.82919
juancho,-1.30037,-74.82932
juancho,-1.29912,-74.82815
juancho,-1.29899,-74.82784
juancho,-1.29987,-74.82706
juancho,-1.29986,-74.82706
juancho,-1.30044,-74.82594
juancho,-1.30036,-74.82632
juancho,-1.30035,-74.82627
juancho,-1.29798,-74.82298
juancho,-1.29757,-74.82395
juancho,-1.29753,-74.8239
juancho,-1.29778,-74.82519
juancho,-1.29741,-74.82637
juancho,-1.2981,-74.82731
juancho,-1.29813,-74.82733
juancho,-1.29778,-74.82727
juancho,-1.29855,-74.8293
juancho,-1.29861,-74.82982
juancho,-1.2983,-74.82976
juancho,-1.29875,-74.82978
juancho,-1.29932,-74.82754
juancho,-1.29916,-74.82761
juancho,-1.29857,-74.82723
juancho,-1.29921,-74.82763
juancho,-1.29775,-74.82473
juancho,-1.2993,-74.82335
juancho,-1.29939,-74.82311
juancho,-1.2994,-74.82274
juancho,-1.29953,-74.82165
juancho,-1.29942,-74.82163
juancho,-1.29941,-74.82173
juancho,-1.2987,-74.82184
juancho,-1.2983,-74.81796
juancho,-1.29938,-74.81991
juancho,-1.29936,-74.81993
juancho,-1.29939,-74.82079
juancho,-1.29945,-74.82163
juancho,-1.29943,-74.82164
juancho,-1.29951,-74.8216
juancho,-1.29941,-74.82167
juancho,-1.29486,-74.82269
juancho,-1.29682,-74.82282
juancho,-1.29771,-74.82243
juancho,-1.2983,-74.82237
juancho,-1.29969,-74.8276
juancho,-1.29975,-74.82768
juancho,-1.3004,-74.82739
juancho,-1.30118,-74.82842
juancho,-1.3005,-74.82751
juancho,-1.30042,-74.8257
juancho,-1.30019,-74.82588
juancho,-1.30013,-74.82585
juancho,-1.30129,-74.82712
juancho,-1.30149,-74.82877
juancho,-1.30217,-74.82852
juancho,-1.30232,-74.82852
juancho,-1.30288,-74.82869
juancho,-1.3032,-74.82894
juancho,-1.30331,-74.82842
juancho,-1.30382,-74.82804
juancho,-1.30503,-74.82961
juancho,-1.30365,-74.8313
juancho,-1.30196,-74.83078
juancho,-1.30214,-74.83182
juancho,-1.30222,-74.83185
juancho,-1.3011,-74.83325
juancho,-1.3019,-74.83032
juancho,-1.30187,-74.83031
juancho,-1.30072,-74.82852
juancho,-1.30074,-74.82861
juancho,-1.29892,-74.82805
juancho,-1.29909,-74.82778
juancho,-1.2994,-74.82699
juancho,-1.30006,-74.82706
juancho,-1.3001,-74.82362
juancho,-1.29979,-74.82237
juancho,-1.29977,-74.82242
juancho,-1.30031,-74.82228
juancho,-1.2998,-74.82242
juancho,-1.29951,-74.82308
juancho,-1.30019,-74.8237
juancho,-1.30015,-74.82375
juancho,-1.29831,-74.82349
juancho,-1.29962,-74.82393
juancho,-1.29824,-74.82511
juancho,-1.29847,-74.82514
juancho,-1.29833,-74.82516
juancho,-1.29704,-74.82424
juancho,-1.29716,-74.82416
juancho,-1.29383,-74.82341
juancho,-1.29423,-74.82512
juancho,-1.29416,-74.82509
juancho,-1.29392,-74.825
juancho,-1.29855,-74.82711
juancho,-1.29813,-74.82709
juancho,-1.29808,-74.82728
juancho,-1.29706,-74.82704
juancho,-1.29558,-74.82864
juancho,-1.29587,-74.82905
juancho,-1.29545,-74.82893
juancho,-1.29409,-74.82868
juancho,-1.29434,-74.82893
juancho,-1.29417,-74.82892
juancho,-1.29303,-74.83035
juancho,-1.29335,-74.83032
juancho,-1.29102,-74.82657
juancho,-1.29056,-74.82725
juancho,-1.28994,-74.82733
juancho,-1.29056,-74.82557
juancho,-1.29092,-74.82455
juancho,-1.29131,-74.82585
juancho,-1.28934,-74.82506
juancho,-1.28766,-74.82705
juancho,-1.28883,-74.82702
juancho,-1.29911,-74.82791
juancho,-1.30029,-74.82687
juancho,-1.30029,-74.82612
juancho,-1.30121,-74.82855
juancho,-1.3021,-74.82858
juancho,-1.30227,-74.82886
juancho,-1.30294,-74.82878
juancho,-1.30281,-74.82875
juancho,-1.30281,-74.82878
juancho,-1.30249,-74.82915
juancho,-1.30203,-74.829
juancho,-1.3021,-74.82868
juancho,-1.30223,-74.8283
juancho,-1.30157,-74.82845
juancho,-1.30232,-74.82855
juancho,-1.30233,-74.82855
juancho,-1.30231,-74.82852
juancho,-1.30228,-74.829
juancho,-1.30167,-74.82862
juancho,-1.30177,-74.82878
juancho,-1.30179,-74.82819
juancho,-1.30235,-74.82849
juancho,-1.30234,-74.8285
juancho,-1.30223,-74.82885
juancho,-1.30269,-74.82945
juancho,-1.30116,-74.82849
juancho,-1.30166,-74.82771
juancho,-1.30184,-74.82776
juancho,-1.30183,-74.82773
juancho,-1.30158,-74.82857
juancho,-1.30281,-74.82891
juancho,-1.30384,-74.82957
juancho,-1.30385,-74.8295
juancho,-1.30302,-74.82836
juancho,-1.2998,-74.82422
juancho,-1.29998,-74.82391
juancho,-1.30012,-74.82385
juancho,-1.3005,-74.8238
juancho,-1.30006,-74.82353
juancho,-1.29967,-74.82314
juancho,-1.299,-74.82391
juancho,-1.29854,-74.82544
juancho,-1.29857,-74.82552
juancho,-1.30026,-74.82611
juancho,-1.29838,-74.82538
juancho,-1.29838,-74.82551
juancho,-1.29701,-74.82378
juancho,-1.29756,-74.82345
juancho,-1.29696,-74.82237
juancho,-1.29516,-74.82399
juancho,-1.29478,-74.82401
juancho,-1.29518,-74.82572
juancho,-1.29845,-74.82527
juancho,-1.29842,-74.82536
juancho,-1.29767,-74.82524
juancho,-1.29737,-74.82762
juancho,-1.29775,-74.82726
juancho,-1.29748,-74.82697
juancho,-1.29724,-74.82719
juancho,-1.2972,-74.82718
juancho,-1.29732,-74.82711
juancho,-1.29778,-74.82728
juancho,-1.29943,-74.82614
juancho,-1.29957,-74.82704
juancho,-1.29856,-74.82634
juancho,-1.29842,-74.82685
juancho,-1.29841,-74.82675
juancho,-1.30038,-74.82583
juancho,-1.30021,-74.82608
juancho,-1.30091,-74.83057
juancho,-1.30138,-74.82962
juancho,-1.30146,-74.82867
juancho,-1.30328,-74.82921
juancho,-1.30313,-74.8291
juancho,-1.30308,-74.82917
juancho,-1.30309,-74.82869
juancho,-1.30314,-74.82918
juancho,-1.30415,-74.82856
juancho,-1.30354,-74.82888
juancho,-1.30349,-74.8289
juancho,-1.3031,-74.82926
juancho,-1.30312,-74.82914
juancho,-1.30309,-74.82919
juancho,-1.30209,-74.82926
juancho,-1.30225,-74.8291
juancho,-1.30115,-74.82834
juancho,-1.30059,-74.82723
juancho,-1.30055,-74.82724
juancho,-1.29992,-74.82722
juancho,-1.29988,-74.8273
juancho,-1.29989,-74.82732
juancho,-1.30007,-74.82562
juancho,-1.29937,-74.8269
juancho,-1.29968,-74.82682
juancho,-1.30015,-74.82692
juancho,-1.29985,-74.82735
juancho,-1.29861,-74.82771
juancho,-1.29793,-74.82672
juancho,-1.29863,-74.82504
juancho,-1.29848,-74.82545
juancho,-1.29827,-74.82495
juancho,-1.29829,-74.82497
juancho,-1.29888,-74.82549
juancho,-1.29972,-74.82285
juancho,-1.29945,-74.82336
juancho,-1.2996,-74.82358
juancho,-1.29986,-74.82601
juancho,-1.29977,-74.82572
juancho,-1.29867,-74.82561
juancho,-1.29865,-74.82549
juancho,-1.29918,-74.82464
juancho,-1.29823,-74.82501
juancho,-1.29845,-74.82547
juancho,-1.30005,-74.82447
juancho,-1.2995,-74.82353
juancho,-1.29976,-74.82385
juancho,-1.29825,-74.82505
juancho,-1.29825,-74.82506
juancho,-1.2982,-74.82475
juancho,-1.29706,-74.82372
juancho,-1.29666,-74.8233
juancho,-1.29665,-74.82345
juancho,-1.29702,-74.82739
juancho,-1.298,-74.82719
juancho,-1.29799,-74.82721
juancho,-1.29769,-74.82703
juancho,-1.29613,-74.82666
juancho,-1.29655,-74.82688
juancho,-1.2966,-74.82688
juancho,-1.29664,-74.82687
juancho,-1.29653,-74.82673
juancho,-1.29652,-74.82675
juancho,-1.29606,-74.82746
juancho,-1.2968,-74.82678
juancho,-1.29661,-74.82686
juancho,-1.29662,-74.82685
juancho,-1.29871,-74.82735
juancho,-1.29889,-74.82742
juancho,-1.29855,-74.8279
juancho,-1.29866,-74.82782
juancho,-1.2988,-74.82742
juancho,-1.29868,-74.82733
juancho,-1.29996,-74.82617
juancho,-1.30066,-74.82595
juancho,-1.29992,-74.82386
juancho,-1.30046,-74.82383
juancho,-1.29999,-74.82381
juancho,-1.29998,-74.82384
juancho,-1.30053,-74.8248
juancho,-1.30366,-74.8238
juancho,-1.30394,-74.81945
juancho,-1.30488,-74.82132
juancho,-1.30496,-74.82131
juancho,-1.30309,-74.82105
juancho,-1.30198,-74.82203
juancho,-1.29934,-74.82166
juancho,-1.29913,-74.82256
juancho,-1.29744,-74.82334
juancho,-1.29759,-74.82393
juancho,-1.29748,-74.82351
juancho,-1.29873,-74.82776
juancho,-1.29852,-74.82762
juancho,-1.3027,-74.83116
juancho,-1.30259,-74.8314
juancho,-1.30255,-74.83103
juancho,-1.30266,-74.83022
juancho,-1.30289,-74.82993
juancho,-1.3032,-74.82993
juancho,-1.30322,-74.8298
juancho,-1.30326,-74.82993
juancho,-1.30445,-74.83058
juancho,-1.30334,-74.83034
juancho,-1.30292,-74.8305
juancho,-1.30309,-74.82996
juancho,-1.30315,-74.83003
juancho,-1.30314,-74.83004
juancho,-1.30419,-74.82845
juancho,-1.30422,-74.82848
juancho,-1.30576,-74.82488
juancho,-1.30628,-74.82478
juancho,-1.30532,-74.82546
juancho,-1.30539,-74.82557
juancho,-1.30545,-74.82549
juancho,-1.30502,-74.82575
juancho,-1.305,-74.82576
juancho,-1.30446,-74.82445
juancho,-1.30342,-74.82292
juancho,-1.30302,-74.82047
juancho,-1.30299,-74.82079
juancho,-1.30298,-74.82093
juancho,-1.30285,-74.82012
juancho,-1.30262,-74.81925
juancho,-1.30224,-74.82157
juancho,-1.30238,-74.82164
juancho,-1.30232,-74.82164
juancho,-1.30273,-74.82206
juancho,-1.30256,-74.82213
juancho,-1.30253,-74.82211
juancho,-1.30286,-74.82101
juancho,-1.30302,-74.82084
juancho,-1.30183,-74.81649
juancho,-1.30208,-74.81718
juancho,-1.30225,-74.81743
juancho,-1.30322,-74.81907
juancho,-1.30316,-74.81904
juancho,-1.30329,-74.82035
juancho,-1.30321,-74.82037
juancho,-1.30366,-74.81893
juancho,-1.30923,-74.82025
juancho,-1.30947,-74.82031
juancho,-1.30896,-74.81999
juancho,-1.30895,-74.81879
juancho,-1.30895,-74.81889
juancho,-1.30862,-74.81849
juancho,-1.30865,-74.81986
juancho,-1.30642,-74.82465
juancho,-1.30795,-74.8251
juancho,-1.30432,-74.82865
juancho,-1.30499,-74.82778
juancho,-1.30497,-74.82777
juancho,-1.30483,-74.82782
juancho,-1.30448,-74.8285
juancho,-1.30417,-74.82842
juancho,-1.3005,-74.82687
juancho,-1.30064,-74.82591
juancho,-1.30052,-74.82591
juancho,-1.29991,-74.82593
juancho,-1.29996,-74.82598
juancho,-1.29995,-74.82636
juancho,-1.30008,-74.82808
juancho,-1.30031,-74.82919
juancho,-1.29568,-74.82754
juancho,-1.29529,-74.8271
juancho,-1.29616,-74.82695
juancho,-1.29678,-74.82691
juancho,-1.29673,-74.82696
juancho,-1.29117,-74.82662
juancho,-1.291,-74.82472
juancho,-1.29242,-74.82501
juancho,-1.29247,-74.82473
juancho,-1.29776,-74.82813
juancho,-1.29764,-74.82753
juancho,-1.29735,-74.82333
juancho,-1.29871,-74.82154
juancho,-1.29851,-74.82151
juancho,-1.29872,-74.82185
